week_start,long_top5,short_bottom5,long_short,top5_coins,bottom5_coins
2025-07-03,6.1,-3.74,1.18,"BEAMXUSDT,RSRUSDT,1000PEPEUSDT,XVGUSDT,1000SATSUSDT","XLMUSDT,SKLUSDT,BNBUSDT,BTCUSDT,APTUSDT"
2025-07-10,30.02,-14.52,7.75,"XLMUSDT,1000SATSUSDT,XRPUSDT,ETHUSDT,1000PEPEUSDT","BNBUSDT,OGNUSDT,LTCUSDT,SKLUSDT,APTUSDT"
2025-07-17,-6.44,-1.71,-4.08,"XLMUSDT,XRPUSDT,IOTAUSDT,ADAUSDT,SKLUSDT","ATOMUSDT,LTCUSDT,1000SATSUSDT,BNBUSDT,BTCUSDT"
2025-07-24,-0.57,2.01,0.72,"ETCUSDT,LTCUSDT,DOGEUSDT,BNBUSDT,ETHUSDT","1000SATSUSDT,RSRUSDT,XLMUSDT,APTUSDT,IOTAUSDT"
2025-07-31,-2.87,2.4,-0.23,"ETHUSDT,BNBUSDT,OGNUSDT,DENTUSDT,BNTUSDT","1000SATSUSDT,GALAUSDT,DOGEUSDT,EGLDUSDT,1000PEPEUSDT"
2025-08-07,8.23,-33.98,-12.88,"LTCUSDT,SPELLUSDT,EGLDUSDT,BEAMXUSDT,ETHUSDT","1000SATSUSDT,SKLUSDT,1000PEPEUSDT,APTUSDT,OGNUSDT"
2025-08-14,-7.08,3.71,-1.69,"SKLUSDT,LINKUSDT,ADAUSDT,ETHUSDT,SOLUSDT","1000SATSUSDT,XRPUSDT,HOTUSDT,BTCUSDT,SPELLUSDT"
2025-08-21,-3.41,1.27,-1.07,"OGNUSDT,LINKUSDT,BNBUSDT,HOTUSDT,DENTUSDT","XRPUSDT,LTCUSDT,1000PEPEUSDT,RSRUSDT,SKLUSDT"
2025-08-28,-3.31,4.84,0.76,"SOLUSDT,ETHUSDT,AVAXUSDT,XRPUSDT,DOGEUSDT","XVGUSDT,RSRUSDT,SKLUSDT,LINKUSDT,OGNUSDT"
2025-09-04,5.88,-5.2,0.34,"SKLUSDT,AVAXUSDT,SANDUSDT,BTCUSDT,LTCUSDT","DENTUSDT,IOTAUSDT,EGLDUSDT,OGNUSDT,XVGUSDT"
2025-09-11,7.34,-0.57,3.38,"AVAXUSDT,DOGEUSDT,1000SATSUSDT,BEAMXUSDT,1000PEPEUSDT","LINKUSDT,EGLDUSDT,BNTUSDT,ETHUSDT,SKLUSDT"
2025-09-18,-12.53,16.11,1.79,"AVAXUSDT,DOGEUSDT,BNBUSDT,SOLUSDT,1000PEPEUSDT","ATOMUSDT,RSRUSDT,BNTUSDT,ETCUSDT,SKLUSDT"
2025-09-25,2.87,-12.1,-4.61,"BNBUSDT,BTCUSDT,1000SATSUSDT,AVAXUSDT,XRPUSDT","ONEUSDT,DOGEUSDT,GALAUSDT,SOLUSDT,RSRUSDT"
2025-10-02,-4.09,5.97,0.94,"XVGUSDT,APTUSDT,BEAMXUSDT,RSRUSDT,LTCUSDT","XRPUSDT,ATOMUSDT,SPELLUSDT,AVAXUSDT,1000SATSUSDT"
2025-10-09,-11.06,13.92,1.43,"BNBUSDT,XVGUSDT,BTCUSDT,ETHUSDT,IOTAUSDT","SANDUSDT,1000PEPEUSDT,ONEUSDT,DENTUSDT,RSRUSDT"
2025-10-16,-7.36,11.23,1.93,"RSRUSDT,ETHUSDT,BNBUSDT,BTCUSDT,BNTUSDT","DENTUSDT,GALAUSDT,APTUSDT,BEAMXUSDT,1000SATSUSDT"
2025-10-23,1.1,1.38,1.24,"BTCUSDT,XRPUSDT,LTCUSDT,DOGEUSDT,IOTAUSDT","XVGUSDT,ONEUSDT,SKLUSDT,RSRUSDT,BEAMXUSDT"
2025-10-30,-12.74,12.41,-0.17,"XRPUSDT,APTUSDT,LTCUSDT,LINKUSDT,BNBUSDT","GALAUSDT,HOTUSDT,DENTUSDT,ATOMUSDT,ONEUSDT"
2025-11-06,3.41,-6.77,-1.68,"XVGUSDT,BTCUSDT,IOTAUSDT,ETCUSDT,XRPUSDT","SOLUSDT,1000PEPEUSDT,BEAMXUSDT,RSRUSDT,APTUSDT"
2025-11-13,-7.08,7.02,-0.03,"APTUSDT,EGLDUSDT,LTCUSDT,ATOMUSDT,GALAUSDT","RSRUSDT,BNBUSDT,BTCUSDT,SOLUSDT,XVGUSDT"
2025-11-20,-10.31,3.77,-3.27,"XVGUSDT,ATOMUSDT,APTUSDT,OGNUSDT,BNBUSDT","RSRUSDT,AVAXUSDT,ADAUSDT,BEAMXUSDT,1000PEPEUSDT"
2025-11-27,-2.48,6.29,1.9,"AVAXUSDT,XRPUSDT,XVGUSDT,XLMUSDT,SOLUSDT","SANDUSDT,SKLUSDT,ONEUSDT,ATOMUSDT,APTUSDT"
2025-12-04,-5.09,3.71,-0.69,"LINKUSDT,ETHUSDT,BNTUSDT,ADAUSDT,1000PEPEUSDT","EGLDUSDT,APTUSDT,XVGUSDT,IOTAUSDT,DENTUSDT"
2025-12-11,-11.61,11.86,0.13,"EGLDUSDT,ETHUSDT,IOTAUSDT,SPELLUSDT,DENTUSDT","AVAXUSDT,1000SATSUSDT,SANDUSDT,RSRUSDT,APTUSDT"
2025-12-18,0.69,1.15,0.92,"BTCUSDT,BNBUSDT,SOLUSDT,LTCUSDT,1000SATSUSDT","SKLUSDT,GALAUSDT,SANDUSDT,EGLDUSDT,XVGUSDT"
2025-12-25,0.14,3.37,1.76,"APTUSDT,ONEUSDT,1000SATSUSDT,ATOMUSDT,1000PEPEUSDT","SKLUSDT,EGLDUSDT,ADAUSDT,DENTUSDT,IOTAUSDT"
2026-01-01,12.3,-15.36,-1.53,"XVGUSDT,1000PEPEUSDT,SPELLUSDT,APTUSDT,BNBUSDT","IOTAUSDT,XLMUSDT,BEAMXUSDT,DOGEUSDT,EGLDUSDT"
2026-01-08,0.82,-8.21,-3.69,"1000PEPEUSDT,IOTAUSDT,ATOMUSDT,GALAUSDT,DOGEUSDT","LTCUSDT,OGNUSDT,BNBUSDT,BTCUSDT,XVGUSDT"
2026-01-15,-9.01,10.06,0.53,"XVGUSDT,1000SATSUSDT,OGNUSDT,ETHUSDT,SOLUSDT","HOTUSDT,SPELLUSDT,1000PEPEUSDT,IOTAUSDT,LTCUSDT"
2026-01-22,-10.77,4.43,-3.17,"SANDUSDT,XVGUSDT,EGLDUSDT,BNBUSDT,ATOMUSDT","1000PEPEUSDT,DENTUSDT,RSRUSDT,APTUSDT,1000SATSUSDT"
2026-01-29,-22.93,17.6,-2.67,"BEAMXUSDT,BNBUSDT,APTUSDT,LTCUSDT,ETHUSDT","ATOMUSDT,ONEUSDT,XVGUSDT,GALAUSDT,SANDUSDT"
2026-02-05,-3.48,6.21,1.36,"ATOMUSDT,IOTAUSDT,HOTUSDT,SPELLUSDT,LTCUSDT","SKLUSDT,APTUSDT,SOLUSDT,XRPUSDT,ETHUSDT"
2026-02-12,1.01,2.74,1.87,"XVGUSDT,EGLDUSDT,BEAMXUSDT,XRPUSDT,ATOMUSDT","ETCUSDT,GALAUSDT,SOLUSDT,BNBUSDT,APTUSDT"
2026-02-19,-2.33,-40.15,-21.24,"ATOMUSDT,1000PEPEUSDT,DOGEUSDT,HOTUSDT,ADAUSDT","DENTUSDT,RSRUSDT,BEAMXUSDT,APTUSDT,SKLUSDT"
2026-02-26,-7.34,4.36,-1.49,"DENTUSDT,APTUSDT,ETCUSDT,LINKUSDT,SOLUSDT","GALAUSDT,OGNUSDT,1000PEPEUSDT,BEAMXUSDT,ATOMUSDT"
2026-03-05,-1.57,4.55,1.49,"RSRUSDT,BTCUSDT,1000SATSUSDT,BNBUSDT,SOLUSDT","ADAUSDT,EGLDUSDT,XVGUSDT,1000PEPEUSDT,DENTUSDT"
2026-03-12,-5.12,-0.6,-2.86,"OGNUSDT,BEAMXUSDT,HOTUSDT,1000SATSUSDT,AVAXUSDT","IOTAUSDT,ETCUSDT,GALAUSDT,XVGUSDT,APTUSDT"
2026-03-19,0.05,5.94,3.0,"HOTUSDT,XRPUSDT,ETHUSDT,APTUSDT,XLMUSDT","XVGUSDT,DENTUSDT,1000SATSUSDT,BEAMXUSDT,OGNUSDT"
